timestamp,block_id,phase_label,l_abd,l_flex,l_er,r_abd,r_flex,r_er
1761183247.643598,3,abd_up,9.816700802487826,63.895360477408744,0.0,-24.516480132558325,57.11143598438009,0.0
1761183247.7759922,3,abd_up,10.108990491317076,64.11602942848782,-104.34051964326952,-24.628252774445016,57.42815404192173,0.0
1761183247.9050639,3,abd_up,7.701113997845645,63.873232608791184,-102.39351561909099,-25.617739064575023,55.373463550347914,-10.075632081076453
1761183248.049982,3,abd_up,6.8168787431505615,64.31378890779966,-108.53277941040648,-26.88959768238582,55.52937505962102,-9.77364816582884
1761183248.174413,3,abd_up,8.149581391857488,63.99018978102202,0.0,-25.485523407604724,55.875997279326356,0.0
1761183248.306933,3,abd_up,10.985560461126713,65.5215936781104,0.0,-25.448371633167522,57.97577653913745,0.0
1761183248.442889,3,abd_up,9.320246509153362,63.7946400914353,0.0,-25.453136224053733,57.63857955223808,0.0
1761183248.576662,3,abd_up,9.373652292102573,63.8666636276008,0.0,-25.239623469925206,57.407322774875894,0.0
1761183248.708184,3,abd_up,8.927575295519153,63.615044062204994,-98.60132950670238,-24.743468620331473,56.43317921379792,0.0
1761183248.8435352,3,abd_up,9.603566974849045,64.09312328410059,-104.85198155161758,-24.56176471978029,56.61998377798304,0.0
1761183248.9775932,3,abd_up,10.86586818326302,64.40122010446953,-107.9855315795939,-24.08064300615229,57.47370061102245,0.0
1761183254.175742,4,flex_down,162.34224259776045,-68.36985930296736,15.186278510218077,-178.74067769761092,-75.40095793994293,0.0
1761183254.309651,4,flex_down,164.27332732269036,-67.04805099332852,0.0,-177.81637146901406,-76.0964043733113,0.0
1761183254.443398,4,flex_down,164.63695539455082,-66.92989356846486,0.0,-177.52106077894246,-76.28023974438463,0.0
1761183254.576724,4,flex_down,165.10092323124093,-67.03112285161686,0.0,-177.0325514490725,-76.02385006262413,0.0
1761183254.711203,4,flex_down,164.96309792832244,-68.05865347225793,-161.9348040811218,-176.52944737795931,-75.55529490352271,0.0
1761183254.8179998,4,flex_down,162.73115547024534,-68.64903290891182,15.435965873623797,-178.18419427145255,-75.48511244434859,-45.784894456253234
1761183254.942553,4,flex_down,162.62429020513355,-69.1009185590314,0.0,-177.6524522885324,-75.94577121406599,0.0
1761183255.077628,4,flex_down,161.7548204716923,-69.40463484467105,0.0,-178.20982847783597,-76.02545279058998,0.0
1761183255.218965,4,flex_down,162.08605536085778,-69.6150470160741,0.0,-177.6219089243388,-76.1529290449744,0.0
1761183255.3458612,4,flex_down,162.01342301777328,-69.04847316182223,0.0,-178.197978335621,-75.93847736250542,-103.96062983526464
1761183255.4763489,4,flex_down,162.28275458470677,-68.9736811391372,-161.7520848700123,-178.06034234384597,-75.73594438452179,0.0
1761183255.616676,4,flex_down,162.5701809797906,-68.27745048737009,0.0,-178.39105216024572,-75.90772821073526,0.0
1761183255.742686,4,flex_down,163.29290258816948,-67.94348865371046,0.0,-178.13803254312086,-75.70250467892421,0.0
1761183255.873015,4,flex_down,162.97787551995089,-68.39955880267989,0.0,-178.00943477277434,-76.79955422255398,-159.0502522045435
1761183256.0162618,4,flex_down,162.6812255105981,-68.47716220104782,16.03778287431577,-178.51701117456267,-76.76592509422807,0.0
1761183256.141758,4,flex_down,162.68570221884158,-68.75651894086798,0.0,-178.47245717686576,-76.46108566336886,0.0
1761183256.275876,4,flex_down,162.35096997511772,-68.54887618876373,0.0,-179.1465815067652,-76.25404330027565,-131.71777645235696
