frame,time,joint,x_deg,y_deg,z_deg,root_tx,root_ty,root_tz
2,0.066666,mixamorig:RightHandPinky3,1.11559,-3.782565,32.854596,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:RightHandPinky4,-2e-06,2e-06,-0.0,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:LeftShoulder,1.243817,0.037375,-10.671747,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:LeftArm,-32.445956,-41.340488,-48.971616,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:LeftForeArm,4.2e-05,-82.037819,3.2e-05,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:LeftHand,-1.118442,0.32317,26.969456,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:LeftHandThumb1,18.241729,-23.305282,-17.628944,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:LeftHandThumb2,53.67162,63.248453,-40.439525,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:LeftHandThumb3,10.741892,32.760811,-5.296235,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:LeftHandThumb4,-1e-06,2e-06,-0.0,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:LeftHandIndex1,6.090341,6.83597,-83.384725,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:LeftHandIndex2,5.535321,6.749097,-78.694557,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:LeftHandIndex3,1.552533,4.360279,-39.183938,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:LeftHandIndex4,-0.0,-0.0,1e-06,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:LeftHandMiddle1,6.088418,6.835754,-83.368517,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:LeftHandMiddle2,5.537224,6.749461,-78.710772,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:LeftHandMiddle3,1.552541,4.360281,-39.183928,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:LeftHandMiddle4,2e-06,-1e-06,-1e-06,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:LeftHandRing1,6.090342,6.835968,-83.384725,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:LeftHandRing2,5.535324,6.749099,-78.694557,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:LeftHandRing3,1.55253,4.360277,-39.183941,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:LeftHandRing4,-1e-06,-1e-06,-1e-06,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:LeftHandPinky1,10.148464,7.303613,-83.373981,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:LeftHandPinky2,5.544911,2.66445,-78.811347,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:LeftHandPinky3,1.552533,4.360284,-39.183935,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:LeftHandPinky4,1e-06,-1e-06,1e-06,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:RightUpLeg,-69.896761,-3.99586,-3.328762,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:RightLeg,50.328037,-0.215594,-0.093191,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:RightFoot,36.199149,3.598336,13.205563,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:RightToeBase,-1.1e-05,1e-06,-1e-06,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:RightToe_End,-0.0,-1e-06,-0.0,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:LeftUpLeg,-70.034171,-0.53098,14.388569,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:LeftLeg,92.739755,9.746263,0.547759,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:LeftFoot,-6.136072,3.250686,5.698263,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:LeftToeBase,-0.092425,9e-06,-2e-06,-0.507129,64.06868,1.331995
2,0.066666,mixamorig:LeftToe_End,-0.0,0.0,-0.0,-0.507129,64.06868,1.331995
3,0.099999,mixamorig:Hips,-18.352319,-6.823324,-7.758395,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:Spine,6.088741,3.105899,3.722261,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:Spine1,11.012936,0.610713,2.199355,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:Spine2,10.9976,0.676323,2.24906,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:Neck,-3.958863,0.585645,-0.546103,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:Head,-12.030052,1.277034,3.560953,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:HeadTop_End,-0.0,-0.0,-0.0,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:RightShoulder,3.358706,13.672207,10.866609,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:RightArm,-22.649577,26.881898,21.412209,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:RightForeArm,-0.000446,83.917364,0.000515,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:RightHand,-7.212189,4.905482,-28.331609,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:RightHandThumb1,7.564648,7.028706,27.703719,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:RightHandThumb2,-9.818519,-72.226669,-19.707071,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:RightHandThumb3,-2.645429,-31.790016,-7.915082,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:RightHandThumb4,4e-06,-3e-06,-0.0,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:RightHandIndex1,6.036404,-6.888417,82.440971,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:RightHandIndex2,4.121022,-6.349618,65.937868,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:RightHandIndex3,1.1156,-3.782566,32.854569,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:RightHandIndex4,-3e-06,-1e-06,-1e-06,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:RightHandMiddle1,6.036403,-6.888421,82.440971,-0.501913,64.068558,1.322866
