Timestamp,RightWrist_flexion,RightWrist_adduction,RightWrist_flexion_velocity,RightWrist_adduction_velocity,LeftWrist_flexion,LeftWrist_adduction,LeftWrist_flexion_velocity,LeftWrist_adduction_velocity,steer_proxy,steer_label
2800,-7.745471,6.031382,-10.61411,-1.895733,-9.973817,-5.273578,-2.376697,10.38701,3.50644135,neutral
2817,-7.784926,6.0058,-2.367313,-1.534903,-10.02786,-5.109177,-3.242382,9.864015,3.4711482500000006,neutral
2833,-7.67629,5.975,6.518218,-1.848039,-10.12403,-5.006413,-5.770568,6.165908,3.53795345,neutral
2850,-7.608084,5.961571,4.092359,-0.805746,-10.10061,-4.88875,1.405099,7.05974,3.581668950000001,neutral
2867,-7.495226,5.979659,6.771436,1.085295,-10.26029,-4.787238,-9.580432,6.090716,3.66609595,neutral
2883,-7.423596,5.96092,4.297842,-1.124336,-10.31435,-4.606433,-3.243745,10.84839,3.71061525,neutral
2900,-7.206309,5.964313,13.03716,0.2035322,-10.39215,-4.544361,-4.667793,3.724319,3.8637340499999997,neutral
2917,-7.009358,5.943535,11.81697,-1.246627,-10.40263,-4.445391,-0.6289642,5.938138,3.9953663500000007,neutral
2933,-6.894721,5.930044,6.87831,-0.8094772,-10.40153,-4.301737,0.06580417,8.619316,4.07156495,neutral
2950,-6.649715,6.040536,14.70029,6.629473,-10.45542,-4.143279,-3.233055,9.507476,4.276216750000001,neutral
2967,-6.543677,6.011432,6.362255,-1.746245,-10.47925,-4.097915,-1.430104,2.721792,4.341712150000001,neutral
2983,-6.472387,5.988331,4.277414,-1.386036,-10.48605,-4.007439,-0.4076998,5.428615,4.38468485,neutral
3000,-6.422541,5.970482,2.990756,-1.070933,-10.51476,-3.882249,-1.722499,7.511393,4.41422235,neutral
3017,-6.258398,5.960101,9.848537,-0.6228989,-10.53633,-3.826116,-1.294435,3.367937,4.526008150000001,neutral
3033,-6.095386,5.94456,9.780846,-0.9324737,-10.4604,-3.752621,4.555651,4.409723,4.63545425,neutral
3050,-5.93171,5.966773,9.820471,1.332772,-10.45273,-3.689002,0.4606797,3.817173,4.7566913500000005,neutral
3067,-5.791598,5.999849,8.406703,1.984568,-10.51861,-3.642737,-3.953113,2.775837,4.86469255,neutral
3083,-5.732205,5.928607,3.563611,-4.274525,-10.54005,-3.648217,-1.286157,-0.3288063,4.88489505,neutral
3100,-5.654404,5.839297,4.668051,-5.358584,-10.54197,-3.672157,-0.1153559,-1.436384,4.91256275,neutral
3117,-5.729434,5.783406,-4.501798,-3.353474,-10.56148,-3.660679,-1.170439,0.6886878,4.84327445,neutral
3133,-5.696328,5.769071,1.986399,-0.8601177,-10.55861,-3.71499,0.172178,-3.258694,4.86214815,neutral
3150,-5.74102,5.69629,-2.681509,-4.366786,-10.55191,-3.689788,0.4016284,1.5121,4.809029450000001,neutral
3167,-5.771698,5.684485,-1.840659,-0.7083286,-10.5939,-3.689699,-2.519347,0.005364392,4.78401335,neutral
3183,-5.770951,5.714116,0.04480406,1.777857,-10.55518,-3.745034,2.323574,-3.320107,4.79342555,neutral
3200,-5.770442,5.707322,0.03055558,-0.4076366,-10.60601,-3.802907,-3.049836,-3.472392,4.79174365,neutral
3217,-5.798126,5.702676,-1.661045,-0.2787481,-10.63069,-3.874829,-1.481202,-4.315289,4.77097105,neutral
3233,-5.818205,5.685855,-1.20476,-1.009236,-10.72225,-3.932058,-5.493676,-3.43379,4.75186945,neutral
3250,-5.746207,5.738707,4.319866,3.171085,-10.75442,-3.997018,-1.929979,-3.897581,4.8181236499999995,neutral
3267,-5.822886,5.744588,-4.600703,0.3528768,-10.83473,-4.062849,-4.818225,-3.949837,4.766212650000001,neutral
3283,-5.767689,5.769419,3.31181,1.489835,-10.81467,-4.078179,1.203415,-0.9198279,4.8122998500000005,neutral
3300,-5.7145,5.789713,3.191341,1.217645,-10.78465,-4.11379,1.80112,-2.13663,4.855620350000001,neutral
3317,-5.745115,5.783082,-1.836882,-0.3978805,-10.81498,-4.132092,-1.819659,-1.098084,4.8322005500000005,neutral
3333,-5.732341,5.773878,0.7664183,-0.55224,-10.88803,-4.164509,-4.383073,-1.945057,4.83838115,neutral
3350,-5.724986,5.764413,0.4413393,-0.567853,-10.87397,-4.178482,0.8434827,-0.8383614,4.8406901499999995,neutral
3367,-5.699561,5.732639,1.525461,-1.906433,-10.83696,-4.193493,2.220601,-0.9007028,4.84895545,neutral
3383,-5.602731,5.725379,5.80985,-0.4356236,-10.87813,-4.204028,-2.47046,-0.6320634,4.91455845,neutral
3400,-5.5764,5.729651,1.579878,0.2563464,-10.8458,-4.229955,1.939879,-1.555645,4.934271750000001,neutral
3417,-5.626084,5.707022,-2.981028,-1.357778,-10.87578,-4.246521,-1.798659,-0.9939718,4.89270425,neutral
3433,-5.665035,5.682309,-2.337078,-1.482797,-10.90566,-4.287362,-1.792735,-2.450461,4.858024650000001,neutral
3450,-5.639966,5.683423,1.50409,0.06686178,-10.90136,-4.260833,0.2577769,1.591722,4.87590715,neutral
3467,-5.684273,5.644894,-2.658364,-2.311724,-10.89932,-4.26123,0.1224512,-0.0238036,4.83333355,neutral
3483,-5.69323,5.684279,-0.5374484,2.363142,-10.89126,-4.203522,0.4834604,3.462501,4.83887915,neutral
3500,-5.628069,5.726502,3.909626,2.533366,-10.90317,-4.195657,-0.7142223,0.4718948,4.897158750000001,neutral
3517,-5.848246,5.708831,-13.21051,-1.060261,-10.92198,-4.144138,-1.128897,3.091149,4.737733550000001,neutral
3533,-5.898705,5.735718,-3.027564,1.613232,-11.03628,-4.144641,-6.857824,-0.03018409,4.710478350000001,neutral
3550,-5.936038,5.823104,-2.23997,5.243142,-10.97243,-4.108429,3.831177,2.172679,4.71056105,neutral
3567,-6.039457,5.856693,-6.205156,2.015323,-10.95769,-4.096619,0.8843951,0.7086433,4.64824445,neutral
3583,-6.06902,5.895086,-1.773794,2.303604,-10.94213,-4.03367,0.9331031,3.776931,4.63906825,neutral
3600,-6.044713,5.974379,1.458428,4.757543,-10.93785,-4.036216,0.2569758,-0.1527493,4.679871050000001,neutral
3617,-6.135041,5.947015,-5.419667,-1.641819,-10.8342,-4.061975,6.21909,-1.545546,4.60843225,neutral
3633,-6.204124,5.845088,-4.145005,-6.115696,-10.87555,-4.091202,-2.480817,-1.753624,4.5294960500000006,neutral
3650,-6.216121,5.8434,-0.7198012,-0.1012797,-10.80533,-4.245757,4.213065,-9.273246,4.52059175,neutral
3667,-6.209084,5.774965,0.4222277,-4.106091,-10.86033,-4.471185,-3.300174,-13.52559,4.50498715,neutral
3683,-6.306521,5.642964,-5.846329,-7.920133,-10.85962,-4.554524,0.04240077,-5.00043,4.39718095,neutral
3700,-6.48773,5.507168,-10.87243,-8.147724,-10.89977,-4.558531,-2.408912,-0.240382,4.22959585,neutral
